id,title,category,channelTitle,tags,label
Unzc731iCUY,How to Speak,Education,MIT OpenCourseWare,"Aloud, public speaking, how to speak in public, how to speak, public speaking 101, intro to public speaking, public speaking help, public speaking tips",1
QFvqStqPCRU,Learning pygame by creating Snake [python tutorial],Education,Clear Code,,1
QtOumf09MEQ,Stop Editing For SO LONG! (it will change your life),Entertainment,finzar,"finzar, funny moments, comedy sketch, highlights, best moments, role playing, fun, funny, comedy, happy, hilarious, satire, satirical, editing, premiere pro, skit, how to, finzar subtitles, finzar transitions, how long to edit for, 10 minute edit, 30 minute edit, 60 minute edit, editing comparison, funny editing tutorial, parody tutorial, fun editing tutorial, finzar thumbnails, editing tutorial, premiere pro tutorial",0
qLBImHhCXSw,How To Do A Burpee | The Right Way | Well+Good,Howto & Style,Well+Good,"how to do a burpee, burpees, burpee, burpee form, the right way to do a burpee, burpee exercise, full body exercise, burpees for beginners, easy burpee, how to do burpees, burpees exercise for women, learn how to do a burpee, how to do burpees for beginners, full body move, trainer, le sweat, le stretch, charlee atkins, the right way, well and good, fitness, fitness goals, effective exercises",1
Acl6owhFMHQ,Is Your Voice Ruining Your Life? | Roger Love | TEDxBend,Nonprofits & Activism,TEDx Talks,"TEDxTalks, English, United States, Life, Achievement, Motivation, Positive Thinking, Speech",1
DmEND-q0LyU,How to make video like this,Entertainment,yo chill bruh,"yo chill bruh, morbius, its morbin time, after effects tutorial, jared leto, audience reaction, smartest man alive",1
ay15dc2cvm0,Beginner Calisthenics Workout At Home (Full Routine),People & Blogs,Minus The Gym,"calisthenics for beginners, calisthenics workout, calisthenics workout program, basic calisthenics, basic calisthenics workout, start calisthenics, best calisthenics workout, calisthenics beginner rou, beginner calisthenics workout, calisthenics workout at home for beginners, calisthenics workout at home, beginner calisthenics, beginner calisthenics routine",1
TKYZTbyQQHY,Top 10 Rules of Calisthenics (FOLLOW OR FAIL),Sports,FitnessFAQs,"how to start calisthenics, how to start calisthenics at home, starting calisthenics, calisthenics motivation, calisthenics beginner, bodyweight training for beginners, bodyweight training at home, bodyweight training for mass, bodyweight training for size, calisthenics for skinny guys, calisthenics for muscle growth, calisthenics for over 50, how to train calisthenics, how to train calisthenics at home, calisthenics tutorial beginner to advanced, calisthenics tutorial at home",1
yDETVPFdbT4,Whatever happens, happens... // Verzache,Entertainment,тоска,"тоска, music, music video, cowboy bebop, verzache, on, the, bebop, hiccup, whatever happens happens, see you space cowboy, seatbelts, vhs, old, melancholy, sadness, emotions, lonely, classic, edit, lo fi, lofi, chill, spike, tocka, amv, cowboy bebop amv",0
48HMCy5F6Vg,Beginner At-Home Workout w/ NO Equipment or Weights for Teens and Adults - Full body Calisthenics,People & Blogs,Cole Baker,cole baker,1
Lf_BUdx26XU,Why Teenagers Should Start Calisthenics - EXPLAINED (Beginners),People & Blogs,Pierre Dalati,"calisthenics, why start calisthenics, calisthenics youtube, teenagers, teenfitness, start calisthenics, teenager calisthenics, why should teenagers start calisthenics, fitness, how to start calisthenics, benefits of calisthenics, how to, teen calisthenics, calesthenics for beginners, calisthenics for teenagers",1
AOqC3L4NQ2c,The Best Workout Routine for Teens (Based on Science),Howto & Style,Brett Maverick,"best workout routine, best workout split, workout routine, workout split, workout routine for teens, total body workout, full body workout, push pull legs, workout routine for beginners, workout for beginners, workout routine for growth, upper body workout, leg workout, gain muscle fast",1
6jDSEhU-feI,Vine boom sound effect. How they made it,Entertainment,Friend Remover,"vine boom sound effect, how they made vine boom, vine boom original, vine sound effect original, instagram boom original, instagram boom sound effect original, boom sound original, original boom",1
cUnNUgsgthk,Take Grade 12 Physics With Me | Episode 1: Planning Ahead For Unit 1 (Dynamics),People & Blogs,Hassan,,1
qxuPnBJCTM4,The Rest of "The Mario Essay" and Sequel Culture,Comedy,Phil Jamesson,,0
AcRSJEhFZ-s,what's up guys uhh good evening and shit it's like 10:49 PM,Music,giselle,,0
g4OBUupicWg,Spaceballs: Comb the desert,Comedy,PeetrW,"Comb, the, desert",0
1Vo2dVyzoYA,Water: An Honest Review,Gaming,Mikasacus,"mikasacus, water: an honest review, water an honest review, water review, comedy, satire, parody, animation, journalism, water is actual garbage, reviews, funny, water explained, h20 guide",0
r6Ss6dvGTIw,Quadratics in the Real World - Part 1,Education,Lauren Kuhn,,1
hlMa4IF8OxY,Gangnam Style in Backrooms?,Comedy,Madkeanu,"Backrooms found footage, backrooms, gangnam style, liminal space, comedy, parody, found footage, backrooms dance, backrooms party, madlykeanu",0
xa6me8wou_k,My Regrets as a Computer Science Student,Education,ForrestKnight,"software, developer, computer science, computer science student, computer science regrets, college regrets, my regrets as a computer science student, regrets in college, what do you regret the most, regret, software developer regret, what i wish i knew before computer science, 5 things i wish i knew before computer science, 5 things i wish i knew cs, 5 things i wish i knew, things i wish i knew",1
yk6wbvNPZW0,Visualising irrationality with triangular squares,Education,Mathologer,"irrational number, proof, root 2, root 3, root 5, root 6, Tennenbaum, John Conway, proof by contradiction, infinite descent, David Montague, Stanley Tennenbaum",1
UCxHB1tzero,Understanding Trinomial Factoring,Education,The Mathmagic Show,"understanding factoring, factoring trinomials, comprehending factoring, what is factoring, factor trinomial, algebra factoring",1
p-0SOWbzUYI,Visualising Pythagoras: ultimate proofs and crazy contortions,Education,Mathologer,"Pythagoras, de gua, proof, a squared plus b squared equals c squared, theorem",1
Qhsf8Ez679Q,Trigonometry - Proving trig identities,Education,MySecretMathTutor,"MySecretMathTutor, Math, Mathematics, How, To, Tutor, Help, trigonometry, identity, prove, verify, simplify",1
QrxPuk0JefA,Camera falls from airplane and lands in pig pen--MUST WATCH END!!,People & Blogs,Mia Munselle,"airplane, falling camera, pig pen, must watch, GoPro (Brand), Cloverdale (City/Town/Village)",0
b78W32I69VA,How to Make Backrooms Found Footage in a Minute and a Half,People & Blogs,Frag 2,,1
r5Iy3v1co0A,Guest Tutorial #6: The Modulo Operator with Golan Levin,Education,The Coding Train,"guest tutorial, guest coding tutorial, codepen, coding tutorial, daniel shiffman, guest talk, live coding, animations, guest, javascript (programming language), creative coding, programming, tutorial, p5js, p5.js, p5.js library, golan, golan levin, golan levin tutorial, modulo, modulus, modulo operator, modulus operator, modulo js, modulus js, modulo Javascript, modulus javascript",1
pg827uDPFqA,What is the number "e" and where does it come from?,Education,Eddie Woo,"math, maths, mathematics, Highlights, E (Literature Subject), Number, exponential growth",1
-5nhdEDGaws,My raycaster render engine demo,Science & Technology,Adamuth / Adam Psychoacoustic,"animation, demo, ray, caster, show, render, engine, retro, wolfenstein, 3d, rise, of, the, triad, rott",1
aSuQ_wF_Rb8,Surrender Jedi,Gaming,alextrifying,,0
